"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2023","307,500.00","307,500.00","310,000.00","305,000.00","","0.00%"
"07/06/2023","307,500.00","307,500.00","310,000.00","305,000.00","","0.00%"
"07/05/2023","307,500.00","307,500.00","310,000.00","305,000.00","","0.00%"
"07/04/2023","307,500.00","307,500.00","310,000.00","305,000.00","","0.00%"
"07/03/2023","307,500.00","307,500.00","310,000.00","305,000.00","","0.00%"
"06/30/2023","307,500.00","307,500.00","310,000.00","305,000.00","","0.00%"
"06/29/2023","307,500.00","307,500.00","310,000.00","305,000.00","","0.00%"
"06/28/2023","307,500.00","307,500.00","310,000.00","305,000.00","","0.00%"
"06/27/2023","307,500.00","307,500.00","310,000.00","305,000.00","","-0.97%"
"06/26/2023","310,500.00","310,500.00","313,000.00","308,000.00","","0.00%"
"06/21/2023","310,500.00","310,500.00","313,000.00","308,000.00","","-0.64%"
"06/20/2023","312,500.00","312,500.00","315,000.00","310,000.00","","0.00%"
"06/19/2023","312,500.00","312,500.00","315,000.00","310,000.00","","0.00%"
"06/16/2023","312,500.00","312,500.00","315,000.00","310,000.00","","0.00%"
"06/15/2023","312,500.00","312,500.00","315,000.00","310,000.00","","0.00%"
"06/14/2023","312,500.00","312,500.00","315,000.00","310,000.00","","0.00%"
"06/13/2023","312,500.00","312,500.00","315,000.00","310,000.00","","0.00%"
"06/12/2023","312,500.00","312,500.00","315,000.00","310,000.00","","0.00%"
"06/09/2023","312,500.00","312,500.00","315,000.00","310,000.00","","2.29%"
"06/08/2023","305,500.00","305,500.00","308,000.00","303,000.00","","2.69%"
"06/07/2023","297,500.00","297,500.00","300,000.00","295,000.00","","0.00%"
"06/06/2023","297,500.00","297,500.00","300,000.00","295,000.00","","0.00%"
"06/05/2023","297,500.00","297,500.00","300,000.00","295,000.00","","0.00%"
"06/02/2023","297,500.00","297,500.00","300,000.00","295,000.00","","0.00%"
"06/01/2023","297,500.00","297,500.00","300,000.00","295,000.00","","0.00%"
"05/31/2023","297,500.00","297,500.00","300,000.00","295,000.00","","0.00%"
"05/30/2023","297,500.00","297,500.00","300,000.00","295,000.00","","0.00%"
"05/29/2023","297,500.00","297,500.00","300,000.00","295,000.00","","0.00%"
"05/26/2023","297,500.00","297,500.00","300,000.00","295,000.00","","0.00%"
"05/25/2023","297,500.00","297,500.00","300,000.00","295,000.00","","-1.65%"
"05/24/2023","302,500.00","302,500.00","305,000.00","300,000.00","","0.00%"
"05/23/2023","302,500.00","302,500.00","305,000.00","300,000.00","","5.22%"
"05/22/2023","287,500.00","287,500.00","290,000.00","285,000.00","","7.48%"
"05/19/2023","267,500.00","267,500.00","270,000.00","265,000.00","","5.94%"
"05/18/2023","252,500.00","252,500.00","255,000.00","250,000.00","","6.32%"
"05/17/2023","237,500.00","237,500.00","240,000.00","235,000.00","","4.40%"
"05/16/2023","227,500.00","227,500.00","230,000.00","225,000.00","","4.60%"
"05/15/2023","217,500.00","217,500.00","220,000.00","215,000.00","","4.82%"
"05/12/2023","207,500.00","207,500.00","210,000.00","205,000.00","","0.00%"
"05/11/2023","207,500.00","207,500.00","210,000.00","205,000.00","","2.47%"
"05/10/2023","202,500.00","202,500.00","205,000.00","200,000.00","","2.53%"
"05/09/2023","197,500.00","197,500.00","200,000.00","195,000.00","","2.60%"
"05/08/2023","192,500.00","192,500.00","195,000.00","190,000.00","","5.48%"
"05/05/2023","182,500.00","182,500.00","185,000.00","180,000.00","","2.82%"
"05/04/2023","177,500.00","177,500.00","180,000.00","175,000.00","","0.00%"
"04/28/2023","177,500.00","177,500.00","180,000.00","175,000.00","","2.90%"
"04/27/2023","172,500.00","172,500.00","175,000.00","170,000.00","","2.99%"
"04/26/2023","167,500.00","167,500.00","170,000.00","165,000.00","","1.21%"
"04/25/2023","165,500.00","165,500.00","168,000.00","163,000.00","","0.00%"
"04/24/2023","165,500.00","165,500.00","168,000.00","163,000.00","","-4.06%"
"04/21/2023","172,500.00","172,500.00","175,000.00","170,000.00","","-2.82%"
"04/20/2023","177,500.00","177,500.00","180,000.00","175,000.00","","0.00%"
"04/19/2023","177,500.00","177,500.00","180,000.00","175,000.00","","-2.74%"
"04/18/2023","182,500.00","182,500.00","185,000.00","180,000.00","","-2.67%"
"04/17/2023","187,500.00","187,500.00","190,000.00","185,000.00","","-2.60%"
"04/14/2023","192,500.00","192,500.00","195,000.00","190,000.00","","-2.53%"
"04/13/2023","197,500.00","197,500.00","200,000.00","195,000.00","","-2.47%"
"04/12/2023","202,500.00","202,500.00","205,000.00","200,000.00","","-2.41%"
"04/11/2023","207,500.00","207,500.00","210,000.00","205,000.00","","-2.35%"
"04/10/2023","212,500.00","212,500.00","215,000.00","210,000.00","","-2.30%"
"04/07/2023","217,500.00","217,500.00","220,000.00","215,000.00","","0.00%"
"04/06/2023","217,500.00","217,500.00","220,000.00","215,000.00","","0.00%"
"04/04/2023","217,500.00","217,500.00","220,000.00","215,000.00","","-2.68%"
"04/03/2023","223,500.00","223,500.00","226,000.00","221,000.00","","-2.61%"
"03/31/2023","229,500.00","229,500.00","232,000.00","227,000.00","","-2.96%"
"03/30/2023","236,500.00","236,500.00","239,000.00","234,000.00","","-2.87%"
"03/29/2023","243,500.00","243,500.00","246,000.00","241,000.00","","-3.94%"
"03/28/2023","253,500.00","253,500.00","256,000.00","251,000.00","","-2.69%"
"03/27/2023","260,500.00","260,500.00","263,000.00","258,000.00","","-2.98%"
"03/24/2023","268,500.00","268,500.00","271,000.00","266,000.00","","-2.89%"
"03/23/2023","276,500.00","276,500.00","279,000.00","274,000.00","","-2.81%"
"03/22/2023","284,500.00","284,500.00","287,000.00","282,000.00","","-2.74%"
"03/21/2023","292,500.00","292,500.00","295,000.00","290,000.00","","-2.34%"
"03/20/2023","299,500.00","299,500.00","302,000.00","297,000.00","","-2.60%"
